file	path	sfillers	sentence
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	damp/A	The air is very damp . ( 2 . ) Nov. 23 , 1781 . 15 h go ' .
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	moist/A	The air is very moist , and intermixed with passing clouds . ( 3 . ) Sept. 7 , 1782 . I viewed the double star preceding 12 Camelopardalis , * with 932 .
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	enemy/N	In this , and several other fine nights which I have lately had , the condensing moisture on the tube of my telescope has been running down in streams ; which proves that damp air is no enemy to good vision . ( 4 , ) Dec. 28 , 1782 . 17h
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	calm/A	There is a strong frost . ( 19 . ) Jan. 31 , 1782 . I can not see with a power of 460 , the stars seem to dance so unaccountably , and yet the air is perfectly calm : even at 60 or 70 degrees of altitude , vision is impaired . ( 20 . ) Feb. 9 , 1782 .
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	hazy/A	The air was very hazy , but extremely calm .
Royal_Society_Corpus_open_v6.0_text_107073_1803.txt	pa_nsubj	proper/A	If moisture in the atmosphere be necessary , dry air can not be proper for vision .
Royal_Society_Corpus_open_v6.0_text_109646_1800.txt	pa_nsubj	perform/V	After some preliminary observations upon the important part that atmospheric air performs in numerous processes of nature and art , and upon the variety of other gaseous bodies now known , Mr. Pepys traces cursorily the progress of eudiometry from Hales , who first observed a contraction upon the admixture of atmospheric air with an air that he had obtained from spirit of nitre and pyrites .
Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_nsubj	be/A	Such distances are however by no means necessary ; and indeed the air over the river , in cold weather , is generally , or at least very frequently , not sufficiently clear for seeing distinctly to so great distances .
Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_nsubj	clear/A	In this observation I think that I could not be mistaken , as the water was at the time perfectly calm , the air uncommonly clear , and I had leisure to pay particular attention to so unforeseen an occurrence .
Royal_Society_Corpus_open_v6.0_text_107050_1800.txt	pa_nsubj	incomplete/A	It was evident from these experiments , that the membLrana tympani of each ear was incomplete , and that the air issued from the mouth , by the Eustachian tuber through an opening in that membrane , and escaped by the external meatus .
Royal_Society_Corpus_open_v6.0_text_107050_1800.txt	pa_nsubj	suffer/V	In a healthy ear , when the meatus auditorius is stopped by the finger , or is otherwise closed , a noise similar to that of a distant roaring of the sea is produced : this arises from the air in the meatus being compressed upon the membrana tympani . the case here described , no such sensation was produced : for , in Mr. P 's ear , the air , meeting with no impediment , could suffer no compression ; since it found a passage , through the open membrane , to the mouth , by means of the Eustachian , tube .
Royal_Society_Corpus_open_v6.0_text_107050_1800.txt	pa_nsubj	capable/A	That , in cases in which the membrana tympani has been destroyed , the air is capable of acting with sufficient force upon the stapes to communicate vibrations to it , and to produce on the internal organ the necessary effect for perfect hearing , , is completely ascertained by Mr. CooPER 's observations .
Royal_Society_Corpus_open_v6.0_text_109778_1800.txt	pa_nsubj	become/V	In consequence of this arrangement , if the air of the mine becomes liable to inflame , the explosion will be confined to the mere content of the lantern , of which only a small part will be consumed , unless the quantity of inflammable gas be very suddenly increased .
Royal_Society_Corpus_open_v6.0_text_107049_1800.txt	pa_nsubj	escape/V	As the air escaped through the puncture , it was supplied by a phial of known dimensions , at equal intervals of time ; and , according to the frequency of this supply , the average height of the gage was such as is expressed in the first Table .
Royal_Society_Corpus_open_v6.0_text_107105_1801.txt	pa_nsubj	render/V	Air rendered azotic , by burning Spirit of Wine in it , when confined above Water . ' Exper . 7 . A portion of fresh herring , of about three drams , was put above water , into this azotic gas , at 5 P. M.
Royal_Society_Corpus_open_v6.0_text_109577_1800.txt	pa_nsubj	come/V	The warm winds , he says , which in summer blow over the surface of this column of ice - cold water , must evidently communicate some small degree of heat to those particles of the fluid with which this warm air comes into immediate contact ; and the particles of the water at the surface so heated , being rendered specifically heavier than they were before by this small increase of temperature , sink slowly to the bottom of the pit ; and here they come in contact with the ice , and communicate to it the heat by which the depth of the pit is continually increased .
Royal_Society_Corpus_open_v6.0_text_107055_1800.txt	pa_nsubj	rise/V	It must be remarked , that the vertical position of the surface contributes greatly to increase the effect ; for , since the heated - air rises in the direction of the surface , its ascent has in this case no tendency to blend it with the adjacent denser strata , and hence very different degrees of density take place in the thickness of 4 of an inch ; so that , as the increments of density are great , the refractions will be proportionally so ; but , - where the heated surface is horizontal , the ascent of the rarefied air into the superincumbent denser strata renders the variations far more gradual ; consequently , a heated surface of far greater extent must be requisite , to produce equal refraction .
Royal_Society_Corpus_open_v6.0_text_107055_1800.txt	pa_nsubj	object/V	Why air heated by the moderate warmth of the sun 's rays , occasions objects to appear doubled and inverted . 2dly .
Royal_Society_Corpus_open_v6.0_text_107087_1801.txt	pa_nsubj	200/N	Some of the powder above mentioned , ( which had been previously subjected to a temperature of 47 cO , without melting , ) I mixed with snow , each at the temperature of + 820 ; when the thermometer , to my perfect satisfaction , sunk to - 40 ' and , at another time , when the air was + 200 , I froze quick . silver perfectly solid , by a mixture of the same materials .
Royal_Society_Corpus_open_v6.0_text_109567_1800.txt	pa_nsubj	means/N	Dry air , it seems , is by no means proper for vision ; and hence dampness , haziness , and fogs , to a certain degree , will generally be found favourable to distinctness : damp situations , therefore , and the neighbourhood of lakes or rivers , need not be objected to in choosing a spot for an observe tory .
Royal_Society_Corpus_open_v6.0_text_107137_1804.txt	pa_nsubj	come/V	The warm winds which , in summer , blow over the surface of this column of ice - cold water , must undoubtedly communicate some small degree of heat to those particles of the fluid with which this warm air comes into immediate contact ; and the particles of the water at the surface so heated , being rendered specifically heavier than they were before , by this small increase of temperature , sink slowly to the bottom of the pit ; where they come into contact with the ice , and communicate to it the heat by which the depth of the pit is continually increased .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	adhere/V	As it is well known that air adheres with considerable obstinacy to the surfaces of some solid bodies , I conceived it to be possible , that the particles of air in immediate contactwith the surface of the cylindrical vessel No. 1 , might in fact be so at . tached to the metal as to adhere to it with some considerable force ; and , if that were the case , as confined air is known to constitute a very warm covering , it appeared to me to be possible , that the cooling of the vessel No. in might have been retarded by such an invisible covering of confined air ; which covering , in the experiment With the vessel No. 2 , had been displaced , and in a great measure driven away , by the colder covering , of linen , by which the body of the instrument was closely embraced .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	accelerate/V	When we consider this experiment with attention , we shall find reason to conclude , that if it were by facilitating the approach and temporary contact of a succession of fresh particles of the cold air of the room to the surface of the glue , ( which was now in fact become the surface of the hot body , ) that the cooling of the instrument was accelerated the metal being as completely covered , and the air , supposed to be attached and fixed to its surface , as completely excluded by one coating of the glue as it could be by two , or more , two coatings could not possibly accelerate the cooling of the instrument more than one ; but if , on the other hand , the cooling of the instrument in this experiment was accelerated , not by facilitating and accelerating the motions of the circumambient cold air , but by facilitating and increasing those radiations which are known to proceed from hot bodies , I conceived that two coatings of the glue might possibly accelerate the cooling of the vessel more than one .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	'/N	Exper . No. 6 . Being desirous of finding out whether or not the covering of animal matter , which had so remarkably facilitated the cooling of the instrument No. 4 , would be equally efficacious in facilitating the passage of heat into the instrument , I suffered both instruments to remain in the cold room all night ; and , entering the next morning , at half an hour past seven o'clock , I found the temperature of the water in the naked instrument , No , A , to be $o ? : that in the instrument No. d , which was covered with gold - beater 's skin , was 49 - O ; while the air of the room was at 48 ' . At 7 h 3on A. M. I removed both instruments into a warm room , and , observed the times of their acquiring heat to be as expressed in the following Table .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	take/V	It is evident , that the greater the power is which an animal possesses of throwing off heat from the surface of his body , independently of that which the surrounding air takes off , the less will his temperature be affected by the occasional changes of DMCCCIV .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	cold/A	And , even should it be true , that bodies are cooled , not in consequence of the rays they emit , but by the action of those frigorific rays they receive from other colder bodies , ( which I much suspect to be the case , ) yet , as it has been found by experiment , that those bodies which emit calorific rays in the greatest abundance , are also most affected by the frigorific rays of colder bodies , it is evident , that in a very hot country , where the air and all other surrounding bodies are but very little colder than ' the surface of the skin , those who by their colour are prepared and disposed to be cooled with the greatest facility , will be the least likely to be oppressed by the accumulation of the heat generated in them by respiration , or of that excited by the sun 's rays .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	have/V	In this position of the vessel No. 6 , it is evident that the air , heated by coming into contact with its bottom , had full liberty to escape Upwards , and to ' make way for other particles of colder air to come into'contact with the hot surface , and be heated , rarefled , and forced upwards , in their turns ; and , under these circumstances , it might reasonably be expected , that as much heat as possible would be communicated immediately to the air , by the hot body ; and that the heat so communicated would of course accelerate the cooling of that vessel .
Royal_Society_Corpus_open_v6.0_text_107141_1804.txt	pa_nsubj	remain/V	Suppose two concave reflecting mirrors , of highly polished metal , each i8 inches in diameter , and i8 inches focal distance . to be placed opposite to - each other , at the distance of Io feet , in a large quiet room , in which the air , and the walls of the room , remain constantly at the same temperature , ( that of freezing water , for instance , ) without any variation .
