sent_num	file	path	ctx_nodes	sentence
1	Royal_Society_Corpus_open_v6.0_text_109548_1800.txt	chi_case	in/A	As an ample account of this extraordinary pheenomenon is printed in the Philosophical Transactions for the year 1795 , it will be needless to dwell here any longer upon it , than merely to observe that these stones are of a quality not found in any part of the Siennese territory ; and that as to their being of volcanic origin , it is scarce credible that they could have been carried in the air to a distance of at least two hundred and fifty miles . 2 . The second instance is that of the stone , weighing no less than fifty - six pounds , which , according to the attestation of several persons who profess themselves eye - witnesses , fell on the 13th of December , 1795 , near Wold Cottage in Yorkshire , and was , when extracted from the depth of about eighteen inches in the earth , still warm , and smoking .
1	Royal_Society_Corpus_open_v6.0_text_109548_1800.txt	chi_det	the/D	As an ample account of this extraordinary pheenomenon is printed in the Philosophical Transactions for the year 1795 , it will be needless to dwell here any longer upon it , than merely to observe that these stones are of a quality not found in any part of the Siennese territory ; and that as to their being of volcanic origin , it is scarce credible that they could have been carried in the air to a distance of at least two hundred and fifty miles . 2 . The second instance is that of the stone , weighing no less than fifty - six pounds , which , according to the attestation of several persons who profess themselves eye - witnesses , fell on the 13th of December , 1795 , near Wold Cottage in Yorkshire , and was , when extracted from the depth of about eighteen inches in the earth , still warm , and smoking .
1	Royal_Society_Corpus_open_v6.0_text_109548_1800.txt	pa_obl	carry/V	As an ample account of this extraordinary pheenomenon is printed in the Philosophical Transactions for the year 1795 , it will be needless to dwell here any longer upon it , than merely to observe that these stones are of a quality not found in any part of the Siennese territory ; and that as to their being of volcanic origin , it is scarce credible that they could have been carried in the air to a distance of at least two hundred and fifty miles . 2 . The second instance is that of the stone , weighing no less than fifty - six pounds , which , according to the attestation of several persons who profess themselves eye - witnesses , fell on the 13th of December , 1795 , near Wold Cottage in Yorkshire , and was , when extracted from the depth of about eighteen inches in the earth , still warm , and smoking .
2	Royal_Society_Corpus_open_v6.0_text_109627_1800.txt	chi_case	in/A	The mould was then washed away from the base of the stems , so that the plants were suspended in the air , and had no communication with the remaining soil , except by their fibrous roots .
2	Royal_Society_Corpus_open_v6.0_text_109627_1800.txt	chi_det	the/D	The mould was then washed away from the base of the stems , so that the plants were suspended in the air , and had no communication with the remaining soil , except by their fibrous roots .
2	Royal_Society_Corpus_open_v6.0_text_109627_1800.txt	pa_obl	suspend/V	The mould was then washed away from the base of the stems , so that the plants were suspended in the air , and had no communication with the remaining soil , except by their fibrous roots .
3	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	chi_case	to/A	When the bulb of a thermometer , wrapped in fine lint , has been dipped in the sulphureous liquor , if it be simply exposed to the air it sinks to about zero of Fahrenheit 's scale , although by a similar evaporation of ether the cold produced is not below 20 ? .
3	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	chi_det	the/D	When the bulb of a thermometer , wrapped in fine lint , has been dipped in the sulphureous liquor , if it be simply exposed to the air it sinks to about zero of Fahrenheit 's scale , although by a similar evaporation of ether the cold produced is not below 20 ? .
3	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	pa_obl	expose/V	When the bulb of a thermometer , wrapped in fine lint , has been dipped in the sulphureous liquor , if it be simply exposed to the air it sinks to about zero of Fahrenheit 's scale , although by a similar evaporation of ether the cold produced is not below 20 ? .
4	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	chi_case	in/A	Since sulphuric acid has no affinity for the sulphuret , it has no effect in adding to the degree of cold produced upon the principle upon which that is employed by Mr. Leslie , excepting in so far as it removes any moisture that may be present in the air , and which in some measure impedes the process until it is converted into a hoar frost , that may be seen adherent to the bulb of the thermometer .
